DHSCLUST,ADM1NAME,DHSREGCO,DHSREGNA,URBAN_RURA,REGNAME,OTHREGNA,OTHREGCO,REGCODE,SVYYEAR,REG_ID,flag
140454,Jammu & Kashmir,4,Kargil,R,Kargil,Ladakh,37,4,2020,NA,NA
140460,Jammu & Kashmir,4,Kargil,R,Kargil,Ladakh,37,4,2020,NA,NA
140498,Jammu & Kashmir,4,Kargil,R,Kargil,Ladakh,37,4,2020,NA,NA
140589,Jammu & Kashmir,4,Kargil,R,Kargil,Ladakh,37,4,2020,NA,NA
140596,Jammu & Kashmir,4,Kargil,U,Kargil,Ladakh,37,4,2020,NA,NA
140607,Jammu & Kashmir,4,Kargil,R,Kargil,Ladakh,37,4,2020,NA,NA
140718,Jammu & Kashmir,4,Kargil,R,Kargil,Ladakh,37,4,2020,NA,NA
140731,Jammu & Kashmir,4,Kargil,U,Kargil,Ladakh,37,4,2020,NA,NA
140740,Jammu & Kashmir,4,Kargil,U,Kargil,Ladakh,37,4,2020,NA,NA
140842,Jammu & Kashmir,4,Kargil,R,Kargil,Ladakh,37,4,2020,NA,NA
140868,Jammu & Kashmir,4,Kargil,R,Kargil,Ladakh,37,4,2020,NA,NA
140904,Jammu & Kashmir,4,Kargil,U,Kargil,Ladakh,37,4,2020,NA,NA
140919,Jammu & Kashmir,4,Kargil,R,Kargil,Ladakh,37,4,2020,NA,NA
140930,Jammu & Kashmir,4,Kargil,R,Kargil,Ladakh,37,4,2020,NA,NA
140006,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140015,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140028,Jammu & Kashmir,5,Punch,U,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140051,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140095,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140136,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140142,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140162,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140182,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140258,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140262,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140276,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140310,Jammu & Kashmir,5,Punch,U,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140350,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140404,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140438,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140442,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140477,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140519,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140595,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140603,Jammu & Kashmir,5,Punch,U,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140625,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140631,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140645,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140660,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140686,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140699,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140724,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140728,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140753,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140777,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140799,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140805,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140820,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140840,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140882,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140886,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140899,Jammu & Kashmir,5,Punch,R,Punch,Jammu & Kashmir,1,5,2020,NA,NA
140018,Jammu & Kashmir,6,Rajouri,U,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140074,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140103,Jammu & Kashmir,6,Rajouri,U,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140114,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140145,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140159,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140172,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140219,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140242,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140244,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140253,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140269,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140313,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140396,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140492,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140505,Jammu & Kashmir,6,Rajouri,U,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140508,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140545,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140551,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140552,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140576,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140615,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140620,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140646,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140672,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140674,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140679,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140723,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140748,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140798,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140819,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140835,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140836,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140872,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140888,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140898,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140936,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140937,Jammu & Kashmir,6,Rajouri,R,Rajouri,Jammu & Kashmir,1,6,2020,NA,NA
140026,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140041,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140045,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140063,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140096,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140107,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140116,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140126,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140170,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140171,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140179,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140183,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140186,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140189,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140216,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140217,Jammu & Kashmir,7,Kathua,U,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140227,Jammu & Kashmir,7,Kathua,U,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140257,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140264,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140292,Jammu & Kashmir,7,Kathua,U,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140326,Jammu & Kashmir,7,Kathua,U,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140328,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140360,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140384,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140445,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140470,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140662,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140698,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140715,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140765,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140767,Jammu & Kashmir,7,Kathua,U,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140838,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140849,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140884,Jammu & Kashmir,7,Kathua,U,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140897,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140925,Jammu & Kashmir,7,Kathua,R,Kathua,Jammu & Kashmir,1,7,2020,NA,NA
140013,Jammu & Kashmir,8,Baramula,R,Baramula,Jammu & Kashmir,1,8,2020,NA,NA
140024,Jammu & Kashmir,8,Baramula,R,Baramula,Jammu & Kashmir,1,8,2020,NA,NA
140065,Jammu & Kashmir,8,Baramula,U,Baramula,Jammu & Kashmir,1,8,2020,NA,NA
140086,Jammu & Kashmir,8,Baramula,R,Baramula,Jammu & Kashmir,1,8,2020,NA,NA
